timestamp,git_sha,engine,query,run,seconds,note
2026-05-01T14:22:18,1d02181,duck,q3_topk,1,0.473,after metadata-fetch fix; single-warm-run for sanity
2026-05-01T14:22:18,1d02181,df,q3_topk,2,4.890,after metadata-fetch fix; single-warm-run for sanity
2026-05-01T14:22:18,1d02181,duck,q3_topk,2,0.627,after metadata-fetch fix; single-warm-run for sanity
2026-05-01T15:07:30,1d02181,df,q1_count,1,1.383,after parquet-io crate (range reads via AsyncFileReader)
2026-05-01T15:07:30,1d02181,duck,q1_count,1,0.483,after parquet-io crate (range reads via AsyncFileReader)
2026-05-01T15:07:30,1d02181,df,q1_count,2,1.563,after parquet-io crate (range reads via AsyncFileReader)
2026-05-01T15:07:30,1d02181,duck,q1_count,2,0.484,after parquet-io crate (range reads via AsyncFileReader)
2026-05-01T15:07:30,1d02181,df,q2_agg,1,3.309,after parquet-io crate (range reads via AsyncFileReader)
2026-05-01T15:07:30,1d02181,duck,q2_agg,1,0.411,after parquet-io crate (range reads via AsyncFileReader)
2026-05-01T15:07:30,1d02181,df,q2_agg,2,3.500,after parquet-io crate (range reads via AsyncFileReader)
2026-05-01T15:07:30,1d02181,duck,q2_agg,2,0.553,after parquet-io crate (range reads via AsyncFileReader)
2026-05-01T15:07:30,1d02181,df,q3_topk,1,3.876,after parquet-io crate (range reads via AsyncFileReader)
2026-05-01T15:07:30,1d02181,duck,q3_topk,1,0.646,after parquet-io crate (range reads via AsyncFileReader)
2026-05-01T15:07:30,1d02181,df,q3_topk,2,3.888,after parquet-io crate (range reads via AsyncFileReader)
2026-05-01T15:07:30,1d02181,duck,q3_topk,2,0.688,after parquet-io crate (range reads via AsyncFileReader)
2026-05-01T15:15:23,1d02181,df,q1_count,1,1.341,parquet-io crate + page-index fix
2026-05-01T15:15:23,1d02181,duck,q1_count,1,0.324,parquet-io crate + page-index fix
2026-05-01T15:15:23,1d02181,df,q1_count,2,1.345,parquet-io crate + page-index fix
2026-05-01T15:15:23,1d02181,duck,q1_count,2,0.418,parquet-io crate + page-index fix
2026-05-01T15:15:23,1d02181,df,q2_agg,1,3.754,parquet-io crate + page-index fix
2026-05-01T15:15:23,1d02181,duck,q2_agg,1,0.607,parquet-io crate + page-index fix
2026-05-01T15:15:23,1d02181,df,q2_agg,2,3.746,parquet-io crate + page-index fix
2026-05-01T15:15:23,1d02181,duck,q2_agg,2,0.604,parquet-io crate + page-index fix
2026-05-01T15:15:23,1d02181,df,q3_topk,1,3.829,parquet-io crate + page-index fix
2026-05-01T15:15:23,1d02181,duck,q3_topk,1,0.659,parquet-io crate + page-index fix
2026-05-01T15:15:23,1d02181,df,q3_topk,2,3.766,parquet-io crate + page-index fix
2026-05-01T15:15:23,1d02181,duck,q3_topk,2,0.734,parquet-io crate + page-index fix
2026-05-01T15:25:52,1d02181,df,q1_count,1,1.558,parquet-io crate + page-index + planning-time metadata cache
2026-05-01T15:25:52,1d02181,duck,q1_count,1,0.429,parquet-io crate + page-index + planning-time metadata cache
2026-05-01T15:25:52,1d02181,df,q1_count,2,1.549,parquet-io crate + page-index + planning-time metadata cache
2026-05-01T15:25:52,1d02181,duck,q1_count,2,0.508,parquet-io crate + page-index + planning-time metadata cache
2026-05-01T15:25:52,1d02181,df,q2_agg,1,3.462,parquet-io crate + page-index + planning-time metadata cache
2026-05-01T15:25:52,1d02181,duck,q2_agg,1,0.427,parquet-io crate + page-index + planning-time metadata cache
2026-05-01T15:25:52,1d02181,df,q2_agg,2,3.166,parquet-io crate + page-index + planning-time metadata cache
2026-05-01T15:25:52,1d02181,duck,q2_agg,2,0.548,parquet-io crate + page-index + planning-time metadata cache
2026-05-01T15:25:52,1d02181,df,q3_topk,1,3.210,parquet-io crate + page-index + planning-time metadata cache
2026-05-01T15:25:52,1d02181,duck,q3_topk,1,0.455,parquet-io crate + page-index + planning-time metadata cache
2026-05-01T15:25:52,1d02181,df,q3_topk,2,2.953,parquet-io crate + page-index + planning-time metadata cache
2026-05-01T15:25:52,1d02181,duck,q3_topk,2,0.661,parquet-io crate + page-index + planning-time metadata cache
